supplier_id,product_id,supplier_price,lead_time_days
13,1,22075.07,2
14,2,9053.85,9
9,3,24809.56,5
11,4,31351.58,8
27,5,14315.36,3
24,6,7555.42,7
3,7,1012.62,2
8,8,23054.43,4
7,8,21549.63,9
19,9,7966.43,9
25,10,27227.89,3
6,11,26297.22,2
10,11,28845.04,8
23,12,11265.58,5
25,13,31936.94,3
19,14,3068.18,10
26,14,3209.57,7
21,15,28414.39,8
4,16,28990.95,9
14,16,28202.85,8
17,17,19297.81,6
30,18,13021.8,9
27,19,29054.8,6
8,20,30514.16,3
15,21,23371.1,9
22,22,7730.26,2
11,23,2694.37,5
9,24,3453.45,6
17,25,22819.17,3
14,26,12665.21,5
21,27,9386.91,9
3,28,21446.2,5
10,28,21657.56,7
17,29,5800.67,10
23,30,5611.93,6
4,31,34611.35,7
18,32,20009.03,4
24,33,28723.28,10
4,34,8171.98,6
6,35,10576.89,10
2,36,7649.89,10
5,37,30381.02,9
1,38,22580.84,9
11,39,30104.0,2
28,40,9073.52,3
3,41,19357.67,2
26,42,20123.06,6
8,43,13087.67,8
26,44,34495.95,10
30,45,3152.69,8
20,46,3622.13,3
7,47,26164.17,3
21,47,25999.49,4
6,48,2115.2,9
16,49,33192.4,5
10,50,33899.26,9
8,51,491.32,5
18,52,22565.16,4
27,53,8719.56,4
5,53,9465.1,6
15,54,3958.52,8
17,55,15515.06,3
18,55,15697.65,8
20,56,29056.12,3
22,57,17770.41,2
22,58,30340.21,2
27,58,32074.9,4
21,59,10172.41,6
19,60,20661.07,9
16,61,25769.96,7
12,61,26539.02,4
23,62,26574.31,8
18,63,96.97,7
2,63,94.75,3
13,64,742.35,2
28,64,754.31,10
2,65,28938.58,7
16,66,10697.17,2
18,67,28723.9,6
23,68,2989.08,2
20,69,2362.87,4
26,69,2382.5,2
3,70,25340.09,3
4,71,16530.91,4
23,72,8888.64,6
16,73,15269.38,5
5,74,18197.23,10
5,75,7211.07,6
28,76,33346.36,10
14,76,33067.81,2
10,77,15564.87,9
15,78,4190.42,7
18,78,4222.42,10
30,79,11355.78,5
8,80,7808.25,8
19,80,7505.33,9
26,81,2461.67,4
2,82,7540.81,7
28,83,28020.72,9
15,83,27741.41,4
21,84,8615.12,3
9,85,7237.85,8
28,86,31311.9,10
11,87,16402.36,9
2,88,26228.4,6
20,88,29118.13,3
4,89,3477.43,3
23,90,14171.54,2
26,91,23653.84,7
5,92,32616.59,8
26,93,13288.43,4
28,94,29025.56,5
19,95,6290.16,9
15,96,14043.15,2
15,97,8377.51,10
29,97,8251.96,9
19,98,15402.99,8
10,98,15490.89,9
7,99,19564.95,3
13,99,18257.09,7
23,100,33312.77,8
19,101,34431.45,2
24,102,30061.54,6
16,102,29874.89,5
12,103,16085.97,5
22,104,14128.18,4
29,105,13167.56,2
15,106,8627.9,7
3,107,16289.21,7
6,108,31568.91,10
12,109,19004.09,6
17,109,19708.65,6
16,110,5224.76,7
26,110,5531.95,9
5,111,34799.6,8
25,111,34802.47,10
26,112,18317.63,6
15,113,1994.29,6
27,114,17467.39,7
8,115,5420.61,10
20,116,2717.36,3
15,117,21276.48,6
4,118,7757.37,2
16,119,29073.45,5
5,120,20213.32,10
13,120,20134.2,4
21,121,14891.64,8
4,121,15062.23,6
12,122,17306.94,9
28,123,6714.54,7
12,123,7067.69,7
9,124,7917.41,3
27,125,21889.92,5
15,125,23313.89,2
11,126,10529.2,4
7,127,2642.69,10
3,127,2463.7,5
8,128,35127.07,2
11,128,33216.21,4
18,129,2658.93,3
9,129,2619.04,2
12,130,9405.24,5
1,131,28963.71,2
14,132,12696.55,3
25,133,28021.47,3
8,134,21954.25,2
30,135,23269.03,10
21,136,29358.45,2
28,137,22475.87,3
13,137,22639.51,9
3,138,4556.89,4
9,139,3774.46,10
13,140,9872.44,10
17,141,24802.08,3
4,142,22050.18,10
28,142,22211.86,5
29,143,16199.16,7
13,144,29633.57,7
14,144,28646.63,6
5,145,14805.1,9
27,146,189.43,8
24,147,21457.01,4
19,148,26618.81,10
4,149,14492.15,8
24,150,2779.33,6
2,150,2595.65,10
22,151,30792.06,3
18,152,28067.71,6
26,153,5079.2,10
27,154,10708.75,10
20,154,10008.15,6
9,155,27805.23,6
12,156,29580.79,4
1,156,30913.28,8
24,157,8702.56,2
17,158,25782.48,8
6,159,13709.94,7
19,160,5090.02,2
20,160,5132.57,2
9,161,29325.8,8
15,162,27414.33,5
4,163,914.61,6
12,163,940.44,9
10,164,10803.88,8
2,165,26478.26,5
1,165,28217.9,6
4,166,26144.2,8
13,167,26984.57,5
27,168,30337.13,7
28,169,7860.14,8
30,170,14999.84,7
19,171,26864.29,8
13,172,835.93,7
20,173,11203.67,7
28,174,31530.38,8
17,175,20876.58,6
8,176,32852.61,4
21,177,30660.3,10
25,178,32554.45,4
5,179,31945.0,4
25,180,3878.98,3
25,181,25241.96,9
25,182,20598.16,7
19,182,21568.97,7
3,183,13146.49,6
19,184,8604.37,3
2,184,8563.36,9
12,185,140.66,3
28,186,17559.68,10
19,187,25494.46,2
26,188,12579.53,5
