product_id,category_id,sku,product_name,cost_price,selling_price,status
1,1,SKU-0001,Classic Phone 001,22408.78,25243.55,active
2,1,SKU-0002,Pro Laptop 002,9684.02,11408.11,active
3,1,SKU-0003,Max Headphones 003,25797.57,33432.15,active
4,1,SKU-0004,Lite Keyboard 004,31234.91,35689.14,active
5,1,SKU-0005,Plus Mouse 005,14813.51,16705.9,active
6,1,SKU-0006,Prime Monitor 006,7714.84,9654.29,active
7,1,SKU-0007,Eco Blender 007,1006.64,1179.48,active
8,1,SKU-0008,Ultra Rice Pack 008,22773.96,28733.56,active
9,1,SKU-0009,Classic Shampoo 009,7777.79,9902.75,active
10,1,SKU-0010,Pro T-Shirt 010,28345.31,31794.64,active
11,1,SKU-0011,Max Notebook 011,28219.21,36727.76,active
12,1,SKU-0012,Lite Backpack 012,11961.55,13880.48,active
13,1,SKU-0013,Plus Shoes 013,33505.88,40458.84,active
14,1,SKU-0014,Prime Smartwatch 014,3318.68,3800.37,active
15,1,SKU-0015,Eco Speaker 015,29674.5,37893.41,active
16,1,SKU-0016,Ultra Power Bank 016,28264.92,37019.42,active
17,1,SKU-0017,Classic Camera 017,18805.08,25819.56,active
18,1,SKU-0018,Pro Vacuum Cleaner 018,13298.42,16802.96,active
19,1,SKU-0019,Max Desk Lamp 019,29042.81,37198.47,active
20,1,SKU-0020,Lite Charger 020,30170.8,38320.28,active
21,1,SKU-0021,Plus Phone 021,24683.65,27939.78,active
22,1,SKU-0022,Prime Laptop 022,8038.21,9607.6,active
23,1,SKU-0023,Eco Headphones 023,2866.34,3383.79,active
24,1,SKU-0024,Ultra Keyboard 024,3606.97,4300.49,active
25,1,SKU-0025,Classic Mouse 025,22278.1,27064.69,active
26,1,SKU-0026,Pro Monitor 026,13006.72,15276.03,active
27,1,SKU-0027,Max Blender 027,9402.87,12821.1,active
28,1,SKU-0028,Lite Rice Pack 028,22709.4,29031.11,active
29,1,SKU-0029,Plus Shampoo 029,6056.16,7930.98,active
30,1,SKU-0030,Prime T-Shirt 030,5786.02,7051.18,active
31,2,SKU-0031,Eco Notebook 031,34634.16,44553.38,active
32,2,SKU-0032,Ultra Backpack 032,19528.69,25348.23,active
33,2,SKU-0033,Classic Shoes 033,29512.39,39008.3,active
34,2,SKU-0034,Pro Smartwatch 034,8078.36,9115.19,active
35,2,SKU-0035,Max Speaker 035,11095.62,13199.49,active
36,2,SKU-0036,Lite Power Bank 036,7447.52,10167.03,active
37,2,SKU-0037,Plus Camera 037,30682.76,36875.04,active
38,2,SKU-0038,Prime Vacuum Cleaner 038,22967.92,28086.65,active
39,2,SKU-0039,Eco Desk Lamp 039,32016.0,39677.48,active
40,2,SKU-0040,Ultra Charger 040,9329.62,11047.42,active
41,2,SKU-0041,Classic Phone 041,19682.98,23389.54,active
42,2,SKU-0042,Pro Laptop 042,20493.74,27736.92,active
43,2,SKU-0043,Max Headphones 043,14027.07,16510.19,active
44,2,SKU-0044,Lite Keyboard 044,34914.01,43728.99,active
45,2,SKU-0045,Plus Mouse 045,3254.56,3684.98,active
46,2,SKU-0046,Prime Monitor 046,3908.95,5015.71,active
47,2,SKU-0047,Eco Blender 047,27739.41,34112.86,active
48,2,SKU-0048,Ultra Rice Pack 048,2298.39,2802.25,active
49,2,SKU-0049,Classic Shampoo 049,34864.56,43844.62,active
50,2,SKU-0050,Pro T-Shirt 050,33990.06,45675.94,active
51,2,SKU-0051,Max Notebook 051,480.92,628.75,active
52,2,SKU-0052,Lite Backpack 052,23885.33,30086.26,active
53,2,SKU-0053,Plus Shoes 053,9397.54,12091.35,active
54,2,SKU-0054,Prime Smartwatch 054,3975.4,4901.82,active
55,2,SKU-0055,Eco Speaker 055,15924.03,21783.95,active
56,2,SKU-0056,Ultra Power Bank 056,30664.78,36444.51,active
57,2,SKU-0057,Classic Camera 057,17560.47,20483.4,active
58,2,SKU-0058,Pro Vacuum Cleaner 058,31948.96,43014.0,active
59,2,SKU-0059,Max Desk Lamp 059,10501.69,13506.51,active
60,2,SKU-0060,Lite Charger 060,21345.24,24754.89,active
61,3,SKU-0061,Plus Phone 061,26706.88,33657.04,active
62,3,SKU-0062,Prime Laptop 062,27269.64,34302.26,active
63,3,SKU-0063,Eco Headphones 063,99.97,120.39,active
64,3,SKU-0064,Ultra Keyboard 064,760.13,1034.97,active
65,3,SKU-0065,Classic Mouse 065,30764.97,41109.17,active
66,3,SKU-0066,Pro Monitor 066,10818.39,12279.53,active
67,3,SKU-0067,Max Blender 067,30740.1,41997.34,active
68,3,SKU-0068,Lite Rice Pack 068,3071.02,3827.59,active
69,3,SKU-0069,Plus Shampoo 069,2496.9,3290.31,active
70,3,SKU-0070,Prime T-Shirt 070,26822.94,30937.09,active
71,3,SKU-0071,Eco Notebook 071,16676.86,21062.02,active
72,3,SKU-0072,Ultra Backpack 072,9335.78,12573.73,active
73,3,SKU-0073,Classic Shoes 073,14855.98,17456.78,active
74,3,SKU-0074,Pro Smartwatch 074,18912.22,24770.89,active
75,3,SKU-0075,Max Speaker 075,7104.2,8532.47,active
76,3,SKU-0076,Lite Power Bank 076,34830.62,44895.56,active
77,3,SKU-0077,Plus Camera 077,15378.45,19293.34,active
78,3,SKU-0078,Prime Vacuum Cleaner 078,4305.47,5073.66,active
79,3,SKU-0079,Eco Desk Lamp 079,11885.95,15130.34,active
80,3,SKU-0080,Ultra Charger 080,8115.61,9554.15,active
81,3,SKU-0081,Classic Phone 081,2559.08,3286.08,active
82,3,SKU-0082,Pro Laptop 082,8074.65,10944.45,active
83,3,SKU-0083,Max Headphones 083,30098.47,34264.79,active
84,3,SKU-0084,Lite Keyboard 084,8391.12,10857.56,active
85,3,SKU-0085,Plus Mouse 085,7561.15,8728.6,active
86,3,SKU-0086,Prime Monitor 086,32748.16,41540.1,active
87,3,SKU-0087,Eco Blender 087,16585.67,21959.44,active
88,3,SKU-0088,Ultra Rice Pack 088,28277.8,33071.07,active
89,3,SKU-0089,Classic Shampoo 089,3464.82,4268.91,active
90,3,SKU-0090,Pro T-Shirt 090,14871.37,18461.71,active
91,4,SKU-0091,Max Notebook 091,25539.33,33075.34,active
92,4,SKU-0092,Lite Backpack 092,34447.05,39462.15,active
93,4,SKU-0093,Plus Shoes 093,14139.54,17083.66,active
94,4,SKU-0094,Prime Smartwatch 094,30169.6,35740.44,active
95,4,SKU-0095,Eco Speaker 095,6722.1,8312.81,active
96,4,SKU-0096,Ultra Power Bank 096,14812.11,17662.28,active
97,4,SKU-0097,Classic Camera 097,8803.24,11972.84,active
98,4,SKU-0098,Pro Vacuum Cleaner 098,15554.13,20903.98,active
99,4,SKU-0099,Max Desk Lamp 099,19297.36,21866.86,active
100,4,SKU-0100,Lite Charger 100,34974.94,46774.34,active
101,4,SKU-0101,Plus Phone 101,33917.35,46156.61,active
102,4,SKU-0102,Prime Laptop 102,29716.46,34567.4,active
103,4,SKU-0103,Eco Headphones 103,17038.59,20030.13,active
104,4,SKU-0104,Ultra Keyboard 104,14084.33,15989.17,active
105,4,SKU-0105,Classic Mouse 105,13313.74,18322.11,active
106,4,SKU-0106,Pro Monitor 106,9340.89,12366.02,active
107,4,SKU-0107,Max Blender 107,15968.89,19641.45,active
108,4,SKU-0108,Lite Rice Pack 108,33509.53,46203.27,active
109,4,SKU-0109,Plus Shampoo 109,19487.43,25465.9,active
